"HY_antiguedad","HY_metros_totales","HY_num_banos","HY_num_terrazas","HY_ascensor","HY_trastero","HY_num_garajes","HY_precio","HY_precio_anterior","IDEA_pc_industria","IDEA_pc_oficina","IDEA_pc_otros","IDEA_ind_tienda","IDEA_ind_riqueza","IDEA_rent_alquiler","IDEA_ind_liquidez","IDEA_unitprice_sale_residential","IDEA_price_sale_residential","IDEA_stock_sale_residential","IDEA_demand_sale_residential","IDEA_unitprice_rent_residential","IDEA_price_rent_residential","IDEA_stock_rent_residential","IDEA_demand_rent_residential","GA_page_views","GA_mean_bounce","GA_exit_rate","GA_quincena_ini","GA_quincena_ult","img_count","precio_metros","TARGET","HY_provincia_","HY_provincia_A.Coruña","HY_provincia_Albacete","HY_provincia_Alicante","HY_provincia_Almería","HY_provincia_Asturias","HY_provincia_Avila","HY_provincia_Badajoz","HY_provincia_Baleares","HY_provincia_Barcelona","HY_provincia_Burgos","HY_provincia_Cáceres","HY_provincia_Cádiz","HY_provincia_Castellón","HY_provincia_Ciudad.Real","HY_provincia_Córdoba","HY_provincia_Cuenca","HY_provincia_Gerona","HY_provincia_Granada","HY_provincia_Guadalajara","HY_provincia_Huelva","HY_provincia_Huesca","HY_provincia_Jaén","HY_provincia_La.Rioja","HY_provincia_Las.Palmas","HY_provincia_León","HY_provincia_Lérida","HY_provincia_Madrid","HY_provincia_Málaga","HY_provincia_Murcia","HY_provincia_Navarra","HY_provincia_Palencia","HY_provincia_Pontevedra","HY_provincia_Segovia","HY_provincia_Sevilla","HY_provincia_Soria","HY_provincia_Tarragona","HY_provincia_Tenerife","HY_provincia_Teruel","HY_provincia_Toledo","HY_provincia_Valencia","HY_provincia_Valladolid","HY_provincia_Zaragoza","HY_tipo_Almacén","HY_tipo_Aparcamiento","HY_tipo_Ático","HY_tipo_Casa.de.pueblo","HY_tipo_Chalet.adosado","HY_tipo_Chalet.independiente","HY_tipo_Chalet.pareado","HY_tipo_Dúplex","HY_tipo_Edificio.comercial","HY_tipo_Edificio.turístico","HY_tipo_Garaje","HY_tipo_Local","HY_tipo_Nave.adosada","HY_tipo_Nave.aislada","HY_tipo_Oficina","HY_tipo_Otro","HY_tipo_Piso","HY_tipo_Solar","HY_tipo_Suelo.rústico.no.urbanizable","HY_tipo_Trastero","HY_cert_energ_B","HY_cert_energ_C","HY_cert_energ_D","HY_cert_energ_E","HY_cert_energ_F","HY_cert_energ_G"
0,8.35054945054945e-05,0.36084880671453,0,0,0,0,0.721202442968572,0.00405405243242011,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0.049934296977661,0.1636,0.0525,0,1,0.3,0.0149821441291322,3.45663208855026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,5.64725274725275e-05,0.227670248696953,0,1,0,1,0.704640741860242,0.00303242304641515,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0.0475251861585633,0.1512,0.1121,0,1,1,0.0216452376556483,4.16635509819837,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
0,2.98021978021978e-05,0.227670248696953,0,1,0,0,0.675776597858612,0.00198809078516564,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0.0232150678931231,0.2041,0.1187,0,1,0.9,0.0393356824152258,3.73909717027455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
0,3.07142857142857e-05,0.227670248696953,0,1,0,0,0.674071522277937,0.0019329552310003,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0.00284713096802453,0.0455,0.1807,0.0217391304347826,0.978260869565217,0.7,0.0380712725510157,3.78804582560844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
1,0.000525813186813187,0,0,0,0,0,0.855678101800875,0.0398921626398955,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0122645641699518,0.005,0.0726,0,0.978260869565217,0.7,0.00282299934912757,4.39937527300849,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,1.22307692307692e-05,0,0,0,0,0,0.527153948637766,0.000201050176629991,1,1,1,1,1,0,0,1,1,1,1,0,0,0,1,0.000511023507081326,0.3333,0.5,0.108695652173913,0.956521739130435,0.5,0.074767959020644,5.39439997522508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,1.59340659340659e-05,0,0,0,0,0,0.547975172532564,0.000278888606039892,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0132866111841145,0.3581,0.3951,0.0217391304347826,1,0.1,0.0596576450536173,3.77826301524862,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,1.59340659340659e-05,0,0,0,0,0,0.547975172532564,0.000278888606039892,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.00219010074463425,0.3,0.41,0.0652173913043478,1,0.1,0.0596576450536173,4.32757044887782,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,1.59340659340659e-05,0,0,0,0,0,0.554671763199536,0.000311321284960685,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.00153307052124398,0,0.2143,0.0217391304347826,1,0.1,0.0603866978448837,5.00602468153857,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,1.59340659340659e-05,0,0,0,0,0,0.554671763199536,0.000311321284960685,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.000730033581544751,0,0.25,0.108695652173913,1,0.1,0.0603866978448837,3.01111337559229,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
